caso_id	usuario_id	antiguedad_usuario_dias	ciudad	vertical	restaurante	valor_orden_mxn	compensacion_solicitada_mxn	num_compensaciones_90d	monto_compensado_90d_mxn	entrega_confirmada_gps	tiempo_entrega_real_min	flags_fraude_previos	motivo_reclamo	descripcion_reclamo	recomendacion_agente
COMP-0151	USR-93810	12	Monterrey	Farmacia	Taquería El Torito	513.09	483.62	6	663.73	SÍ - confirmada	91	0	Producto incompleto	Solo llegó parte de mi pedido, faltó la bebida.	PENDIENTE
COMP-0152	USR-38893	970	CDMX	Comida	El Asadero del Norte	350.47	235.61	1	1083.35	Señal perdida	97	0	Producto en mal estado	El producto estaba caducado según la fecha en el empaque.	PENDIENTE
COMP-0153	USR-70217	39	Tijuana	Farmacia	Mariscos Premium	646.69	458.58	1	875.27	SÍ - confirmada	49	0	Orden llegó tarde	La orden prometía 30 minutos y tardó más de 2 horas.	PENDIENTE
COMP-0154	USR-59823	1702	Monterrey	Mercado	Parrilla Clásica	214.08	142.89	14	741.98	Parcial	68	1	Producto en mal estado	La carne tenía un color extraño y no se veía fresca.	PENDIENTE
COMP-0155	USR-83000	19	CDMX	Mercado	Tortas Don Chuy	251.35	161.58	14	2655.2	Parcial	38	2	Producto en mal estado	El producto estaba caducado según la fecha en el empaque.	PENDIENTE
COMP-0156	USR-42325	52	Cali	Mercado	Cevichería El Rey	453.46	321.63	1	2584.7	NO confirmada	100	2	Producto incompleto	Solo llegó parte de mi pedido, faltó la bebida.	PENDIENTE
COMP-0157	USR-88172	258	Bogotá	Farmacia	Burger Express	701.49	651.5	6	807.81	Señal perdida	34	1	Producto en mal estado	La comida llegó con olor a descompuesto.	PENDIENTE
COMP-0158	USR-30730	940	Lima	Comida	Pizzería Artesanal	664.08	619.61	13	2289.91	SÍ - confirmada	96	0	Producto en mal estado	La comida llegó con olor a descompuesto.	PENDIENTE
COMP-0159	USR-12552	12	Puebla	Farmacia	Taquería El Torito	134.82	102.98	4	1431.09	NO confirmada	53	1	Orden cancelada sin reembolso	Cancelaron mi orden por falta de repartidor y no me reembolsaron.	PENDIENTE
COMP-0160	USR-37760	163	Buenos Aires	Farmacia	Parrilla Clásica	360.38	280.28	0	1769.04	NO confirmada	95	0	Producto incompleto	No incluyeron las salsas ni los cubiertos.	PENDIENTE
